Date,Max_Temp_C,Min_Temp_C,Humidity_Pct,THI
2017-01-07,-8.87,-16.48,78.06,21.139438
2017-01-08,-5.66,-16.26,84.72,24.877167999999998
2017-01-09,-3.83,-12.87,83.03,28.199630999999997
2017-01-10,-3.84,-9.14,81.28,28.502527999999998
2017-01-11,-8.32,-13.83,77.95,22.033759999999994
2017-01-12,-5.75,-14.89,68.68,27.960979999999996
2017-01-13,-7.28,-15.25,75.01,24.313831999999994
2017-01-14,0.21,-12.76,77.15,35.620414999999994
2017-01-15,1.68,-10.45,81.5,37.3772
2017-01-16,-0.62,-4.52,94.9,31.650019999999998
2017-01-17,-0.67,-10.41,92.96,31.854928
2017-01-18,4.78,-6.94,91.67,41.405345999999994
2017-01-19,4.29,-1.63,97.01,40.024288999999996
2017-01-20,5.16,0.83,97.64,41.506063999999995
2017-01-21,4.21,-2.44,91.96,40.397276
2017-01-22,4.3,-3.01,91.12,40.63688
2017-01-23,0.37,-2.32,87.21,34.460437
2017-01-24,-0.14,-3.0,91.07,33.046422
2017-01-25,-2.35,-5.26,89.17,29.584024999999997
2017-01-26,-2.48,-9.38,84.62,30.132143999999997
2017-01-27,0.24,-14.52,90.69,33.750296
2017-01-28,0.94,-4.17,92.45,34.70823
2017-01-29,3.13,-3.13,91.03,38.644919
2017-01-30,7.79,-3.6,81.64,47.235596
2017-01-31,3.25,-1.99,75.8,40.5483
2017-02-01,-2.36,-12.89,68.95,32.95598
2017-02-02,-5.32,-14.5,71.82,27.981096
2017-02-03,-2.91,-14.32,72.84,31.463395999999996
2017-02-04,3.93,-7.96,76.71,41.512463
2017-02-05,-0.77,-10.25,82.14,33.323362
2017-02-06,6.1,-5.32,91.26,43.70542
2017-02-07,1.02,-10.43,73.46,37.387052
2017-02-08,-6.29,-14.15,67.3,27.44363
2017-02-09,-5.21,-15.17,75.31,27.463708999999998
2017-02-10,9.48,-6.03,91.32,49.491056
2017-02-11,7.5,1.04,93.56,45.944359999999996
2017-02-12,7.34,-3.25,69.0,47.4006
2017-02-13,10.32,-2.63,66.21,51.954632
2017-02-14,8.29,-3.35,74.25,48.495324999999994
2017-02-15,6.83,-4.91,76.04,46.107772
2017-02-16,14.28,-1.95,79.55,57.728539999999995
2017-02-17,16.55,-0.76,71.33,61.173595
2017-02-18,16.24,-1.03,73.29,60.740536
2017-02-19,14.47,1.87,86.95,58.036865
2017-02-20,13.67,3.13,91.52,56.667904
2017-02-21,20.32,0.24,71.51,66.889392
2017-02-22,17.13,1.51,74.39,62.134847
